Dept,Activity,Target,PIC,Support,Status,Progress,Start Date,End Date,Priority,Project Status
Distri-Pro,Weekly Customer Connection (SI & Rental),Build Market Relationship,Bank/Wut,-,In Progress,25,2026-05-01,2026-12-31,High,P1
Distri-Pro,Explore Education Segment,New Market Entry,Team,Next Q Focus,Planning,0,2026-06-01,2026-09-30,Medium,P2
Distri-Pro,Digital Marketing Plan & Release,Brand Awareness,Bank,Marketing Team,In Progress,15,2026-05-01,2026-08-31,High,P1
Distri-Pro,Plan Mind Map for Team Alignment,Internal Communication,Team,Advise from P Noi/Bob,Planning,10,2026-05-01,2026-05-31,Medium,P1
Post,Visit Universities (Min. 6),New Hunt Opportunities,Post Team,-,In Progress,30,2026-05-01,2026-05-31,High,P1
Post,Road Trip: MSU & KKU (8 May),New Customer Acquisition,Post Team,-,Planning,10,2026-05-08,2026-05-09,High,P0
Broadcast,Introduce products to Existing (TVS/PPTV/Ch5),Sales Expansion,BC Team,Product Support,In Progress,20,2026-05-01,2026-12-31,High,P1
Broadcast,New Segment (RMUTT/SPU/DPU),University Market,BC Team,-,Planning,10,2026-06-01,2026-09-30,High,P1
Broadcast,DLTV Ingest & Playout (Re-open),High Value Project,BC Team,-,In Progress,15,2026-05-01,2026-12-31,High,P0
Broadcast,E-News product introduction (2/month),Digital Marketing,Marketing,-,In Progress,40,2026-01-01,2026-12-31,Medium,P2
